id,messier_id,designations
0,M1,messier 1
1,M1, m1
2,M1, crab nebula
3,M1, ngc 1952
4,M1, sharpless 244
5,M1, lbn 833
6,M1, 3c 144
7,M2,messier 2
8,M2, m2
9,M2, ngc 7089
10,M2, gc 4678
11,M2, bode 70
12,M3,messier 3
13,M3, m3
14,M3, ngc 5272
15,M3, gcl 25
16,M3, c 1339+286
17,M4,messier 4
18,M4, m4
19,M4, ngc 6121
20,M5,messier 5
21,M5, m5
22,M5, ngc 5904
23,M5, gcl 34
24,M5, c 1516+022
25,M6,butterfly cluster
26,M6, messier 6
27,M6, m6
28,M6, ngc 6405
29,M6, collinder 341
30,M6, lund 769
31,M6, melotte 178
32,M6, ocl 1030
33,M6, eso 455-sc030
34,M6, lac. iii.12
35,M7,messier 7
36,M7, m7
37,M7, ptolemyÈs cluster
38,M7, ngc 6475
39,M7, collinder 354
40,M7, lac. ii.14
41,M8,messier 8
42,M8,m8
43,M8,ngc 6523
44,M8,lagoon nebula
45,M8,sharpless 25
46,M8,rcw 146
47,M8,gum 72
48,M9,messier 9
49,M9,m9
50,M9,ngc 6333
51,M9,eso 587-sc 005
52,M9,h 1979
53,M9,h 3677
54,M10,messier 10
55,M10, m10
56,M10, ngc 6254
57,M10, gcl-49
58,M11,messier 11
59,M11, m11
60,M11, wild duck cluster
61,M11, ngc 6705
62,M11, collinder 391
63,M11, c 1848-063
64,M11, melotte 213
65,M12,messier 12
66,M12, m12
67,M12, ngc 6218
68,M12, c 1644-018
69,M12, gcl 46
70,M13,hercules globular cluster
71,M13, great globular cluster in hercules
72,M13, messier 13
73,M13, m13
74,M13, ngc 6205
75,M13, c 1639+365
76,M13, gcl 45
77,M13, mwsc 2445
78,M13, 2masx j16414163+3627407
79,M14,messier 14
80,M14, m14
81,M14, ngc 6402
82,M14, bd-03 4142
83,M14, c 1735-032
84,M14, gcl 72
85,M14, hd 159974
86,M14, gcrv 10179
87,M14, mwsc 2643
88,M15,messier 15
89,M15, m15
90,M15, ngc 7078
91,M15, gcl 120
92,M15, c 2127+119
93,M15, mwsc 3518
94,M16,eagle nebula
95,M16, messier 16
96,M16, m16
97,M16, ngc 6611
98,M16, ic 4703
99,M16, star queen nebula
100,M16, the spire
101,M16, sharpless 49
102,M16, rcw 165
103,M16, gum 83
104,M16, collinder 375
105,M16, c 1816-138
106,M16, ctb 51
107,M17,omega nebula
108,M17, messier 17
109,M17, m17
110,M17, ngc 6618
111,M17, sharpless 45
112,M17, rcw 160
113,M17, gum 81
114,M17, collinder 377
115,M17, lbn 60
116,M17, swan nebula
117,M17, lobster nebula
118,M17, horseshoe nebula
119,M17, checkmark nebula
120,M18,messier 18
121,M18, m18
122,M18, ngc 6613
123,M18, c 1817-171
124,M18, mwsc 2892
125,M19,messier 19
126,M19, m19
127,M19, ngc 6273
128,M19, gcl 52
129,M19, c 1659-262
130,M19, mwsc 2519
131,M20,messier 20
132,M20, m20
133,M20, trifid nebula
134,M20, ngc 6514
135,M20, sharpless 30
136,M20, rcw 147
137,M20, gum 76
138,M20, c 1759-230
139,M20, collinder 360
140,M20, lbn 27
141,M20, mwsc 2789
142,M20, ocl 23.0
143,M21,messier 21
144,M21, m21
145,M21, ngc 6531
