id,object_,type_,features,constellation,right ascension,declination,distance,apparent magnitude,absolute magnitude,apparent dimensions,radius,class,age,number of stars,tidal radius,mass,size,redshift,helio radial velocity,galactocentric velocity,linear diameter,spectral class,diameter,heliocentric radial velocity,galactocentric radial velocity,year,discoverer;
"M1,nebula,supernova remnant,optical pulsar,taurus,05h 34m 31.94s,+22å¡00‰Ûª52.2‰Û,""6,500 light years (2 kiloparsecs)"",+8.4,-3.1,420‰Û_ ÌÑ 290‰Û (6ÌÑ4 arc minutes),5.5 light years (1.7 parsecs),,,,,,,,,,,,,,,1731.0,BÌ©vis";
"M10,cluster,globular,,ophiuchus,16h 57m 8.92s,-04å¡05‰Ûª58.07‰Û,""14,300 light years (4,400 parsecs)"",+6.4,,20‰Û_,41.6 light years,vii,11.39 billion years,""100,000"",19.3 arc minutes,,,,,,,,,,,1764.0,Messier";
"M100,galaxy,spiral,,coma berenices,12h 22m 54.9s,+15å¡49‰Ûª21‰Û,55 million light yers,+10.1,,7‰Û_.4 x 6‰Û_.3,""53,500 light years"",sab(s)bc,,400 billion,,,,""1,571 km/s"",,,,,,,,1781.0,MÌ©chain";
"M101,galaxy,spiral,,ursa major,14h 03m 12.6s,+54å¡20‰Ûª57‰Û,20.9 million light years (6.4 megaparsecs),+7.86,-21.6,28‰Û_.8 x 26‰Û_.9,""85,000 light years"",sab(rs)cd,,1 trillion,,,,0.000804,241 km/s,,,,,,,1781.0,MÌ©chain";
"M102,galaxy,lenticular,extended dust disk,draco,15h 06m 29.5s,+55å¡45‰Ûª48‰Û,50 million light years (15.3 megaparsecs),+10.7,,4‰Û_.7 x 1‰Û_.9,""30,000 light years (9,200 parsecs)"",s0,,100 billion,,,,672 km/s,,,,,,,,1781.0,MÌ©chain";
"M103,cluster,open,,cassiopeia,01h 33.2m,+60å¡42‰Û_,""10,000 light years (3,000 parsecs)"",+7.4,,6‰Û_,8.75 light years,,25 million years,> 172,,,,,,,,,,,,1781.0,MÌ©chain";
"M104,galaxy,spiral,remarkably bright centre,virgo,12h 39m 59.4s,-11å¡37‰Ûª23‰Û,29.3 million light years (8.98 megaparsecs),+8.98,-21.8,8‰Û_.7 x 3‰Û_.5,""25,000 light years"",sa(s)a,,100 billion,,,,0.003416,""1,024 km/s"",,,,""50,000 light years (15,329.74 parsecs)"",,,1781.0,MÌ©chain";
"M105,galaxy,elliptical,,leo,10h 47m 49.6s,+12å¡34‰Ûª54‰Û,32 million light years (9.8 megaparsecs),+10.2,,5‰Û_.4 x 4‰Û_.8,""27,000 light years"",e1,,40 billion,,,,911 km/s,,,,,,,,1781.0,MÌ©chain";
"M106,galaxy,spiral,""seyfert ii galaxy, maser galaxy"",canes venatici,12h 18m 57.5s,+47å¡18‰Ûª14‰Û,23.7 million light years (7 megaparsecs),+9.1,,18‰Û_.6 x 7‰Û_.2,""67,500 light years"",sab(s)bc,,400 billion stars,,,,448 km/s,,,,,,,,1781.0,MÌ©chain";
"M107,cluster,globular,,ophiuchus,16h 32m 31.86s,-13å¡03‰Ûª13.6‰Û,""20,900 light years (6,400 parsecs)"",+8.85,,13‰Û_,39.5 light years,x,13.95 billion years,""100,000"",,,,,,,,,,,,1782.0,MÌ©chain";
"M108,galaxy,barred spiral,,ursa major,11h 11m 31.0s,+55å¡40‰Ûª27‰Û,45.9 million light years (14.1 megaparsecs),+10.7,,8‰Û_.7 ÌÑ 2‰Û_.2,""55,000 light years"",sb(s)cd,,400 billion,,,,699 km/s,,,,,,,,1782.0,MÌ©chain";
"M109,galaxy,barred spiral,,ursa major,11h 57m 36.0s,+53å¡22‰Ûª28‰Û,83.5 million light years (25.6 megaparsecs),+10.6,,7‰Û_.6 x 4‰Û_.7,""90,000 light years"",""sb(rs)bc, liner/hii"",,1 trillion,,,,0.003496,,""1,121 km/s"",,,,""1,048 km/s"",,1782.0,MÌ©chain";
"M11,cluster,open,,scutum,18h 51.1m,-06å¡16‰Û_,""6,200 light years (1,900 parsecs)"",+6.3,,14‰Û_,,,220 million years,""2,900"",,,,,,,,,,,,1681.0,Kirch";
"M110,galaxy,dwarf elliptical,satellite of the andromeda galaxy (m31),andromeda,00h 40m 22.1s,+41å¡41‰Ûª07‰Û,2.69 million light years (824.76 kiloparsecs),+8.92,,21‰Û_.9 x 11‰Û_.0,""8,500 light years"",e5 pec,,10 billion,,,,-0.000804,,‰ÛÒ 62 km/s,,,,-241 km/s,,1773.0,Messier";
"M12,cluster,globular,,ophiuchus,16h 47m 14.18s,-01å¡56‰Ûª54.7‰Û,""15,700 light years (4,800 parsecs)"",+7.68,,16‰Û_,37.2 light years,ix,12.67 billion years,""200,000"",,,,,,,,,,,,1764.0,Messier";
