id,messier_object,messier_type,features,constellation,right_ascension,declination,distance,apparent_magnitude,absolute_magnitude,apparent_dimensions,radius,messier_class,age,number_of_stars,tidal_radius,mass,size,redshift,helio_radial_velocity,galactocentric_velocity,linear_diameter,spectral_class,diameter,heliocentric_radial_velocity,galactocentric_radial_velocity,year,discoverer
M1,nebula,supernova remnant,optical pulsar,taurus,05h 34m 31.94s,+22°00’52.2”,"6,500 light years (2 kiloparsecs)",+8.4,-3.1,420″ × 290” (6×4 arc minutes),5.5 light years (1.7 parsecs),,,,,,,,,,,,,,,1731.0,Bévis
M10,cluster,globular,,ophiuchus,16h 57m 8.92s,-04°05’58.07”,"14,300 light years (4,400 parsecs)",+6.4,,20′,41.6 light years,vii,11.39 billion years,"100,000",19.3 arc minutes,,,,,,,,,,,1764.0,Messier
M100,galaxy,spiral,,coma berenices,12h 22m 54.9s,+15°49’21”,55 million light yers,+10.1,,7′.4 x 6′.3,"53,500 light years",sab(s)bc,,400 billion,,,,"1,571 km/s",,,,,,,,1781.0,Méchain
M101,galaxy,spiral,,ursa major,14h 03m 12.6s,+54°20’57”,20.9 million light years (6.4 megaparsecs),+7.86,-21.6,28′.8 x 26′.9,"85,000 light years",sab(rs)cd,,1 trillion,,,,0.000804,241 km/s,,,,,,,1781.0,Méchain
M102,galaxy,lenticular,extended dust disk,draco,15h 06m 29.5s,+55°45’48”,50 million light years (15.3 megaparsecs),+10.7,,4′.7 x 1′.9,"30,000 light years (9,200 parsecs)",s0,,100 billion,,,,672 km/s,,,,,,,,1781.0,Méchain
M103,cluster,open,,cassiopeia,01h 33.2m,+60°42′,"10,000 light years (3,000 parsecs)",+7.4,,6′,8.75 light years,,25 million years,> 172,,,,,,,,,,,,1781.0,Méchain
M104,galaxy,spiral,remarkably bright centre,virgo,12h 39m 59.4s,-11°37’23”,29.3 million light years (8.98 megaparsecs),+8.98,-21.8,8′.7 x 3′.5,"25,000 light years",sa(s)a,,100 billion,,,,0.003416,"1,024 km/s",,,,"50,000 light years (15,329.74 parsecs)",,,1781.0,Méchain
M105,galaxy,elliptical,,leo,10h 47m 49.6s,+12°34’54”,32 million light years (9.8 megaparsecs),+10.2,,5′.4 x 4′.8,"27,000 light years",e1,,40 billion,,,,911 km/s,,,,,,,,1781.0,Méchain
M106,galaxy,spiral,"seyfert ii galaxy, maser galaxy",canes venatici,12h 18m 57.5s,+47°18’14”,23.7 million light years (7 megaparsecs),+9.1,,18′.6 x 7′.2,"67,500 light years",sab(s)bc,,400 billion stars,,,,448 km/s,,,,,,,,1781.0,Méchain
M107,cluster,globular,,ophiuchus,16h 32m 31.86s,-13°03’13.6”,"20,900 light years (6,400 parsecs)",+8.85,,13′,39.5 light years,x,13.95 billion years,"100,000",,,,,,,,,,,,1782.0,Méchain
M108,galaxy,barred spiral,,ursa major,11h 11m 31.0s,+55°40’27”,45.9 million light years (14.1 megaparsecs),+10.7,,8′.7 × 2′.2,"55,000 light years",sb(s)cd,,400 billion,,,,699 km/s,,,,,,,,1782.0,Méchain
M109,galaxy,barred spiral,,ursa major,11h 57m 36.0s,+53°22’28”,83.5 million light years (25.6 megaparsecs),+10.6,,7′.6 x 4′.7,"90,000 light years","sb(rs)bc, liner/hii",,1 trillion,,,,0.003496,,"1,121 km/s",,,,"1,048 km/s",,1782.0,Méchain
M11,cluster,open,,scutum,18h 51.1m,-06°16′,"6,200 light years (1,900 parsecs)",+6.3,,14′,,,220 million years,"2,900",,,,,,,,,,,,1681.0,Kirch
